system,system_name,Alg I,Alg II,Bio I,Chemistry,ELA,Eng I,Eng II,Eng III,Math,Science,Enrollment,Black,Hispanic,Native American,English Learners,Students with Disabilities,Economically Disadvantaged,Per-Pupil Expenditures,Black/Hispanic/Native American,ACT Composite,Chronic Absence,Suspension Rate,Expulsion Rate,Graduation,Dropout,Alg I Growth,Alg II Growth,Bio I Growth,Chemistry Growth,ELA Growth,Eng I Growth,Eng II Growth,Eng III Growth,Math Growth,Science Growth,Region
330,Hamilton County,60.9,43.6,57.6,31.2,44.8,67.6,59.8,33,54.9,59.7,41904,31.1,9.6,0.2,5,12.7,60.5,9728.8,40.9,18.9,14.1,7.9,0.6,82.6,12,-1,4.6,-3.8,5.7,-2.1,-1.5,1.7,0.8,2.3,-0.1,Southeast
340,Hancock County,51.3,38.2,32,14.3,26.2,57.3,53.2,30.2,28.2,42.6,946,0.6,0.7,0.2,0.4,20.1,81.6,9762.1,1.5,17.4,18.6,0.8,0,89.5,7.9,0,33.9,-14.5,-6.9,-5.8,-12.8,0,3.1,-4.7,0.8,First TN
350,Hardeman County,52.4,32.9,47,27.2,36.3,61.2,50.8,24.2,48,50,3679,53.5,1.7,0.1,0,15.2,81.8,9820.7,55.3,17.7,12.5,8.7,0.1,86.3,11.8,-7.3,-11.3,-2.3,-11.7,-3.3,4.9,7.8,-4.8,1.1,-2.6,Southwest/Memphis
360,Hardin County,57.6,61.3,57.4,49.2,43.6,72.4,58.4,47.6,43.4,63,3474,5.9,2.3,0.4,0.2,17.4,75.1,8709.4,8.6,18.9,17.5,2.8,0.4,91,3.7,2.1,6,-6.1,12.2,-0.9,7,-3.9,8.2,2.9,-2.2,Southwest/Memphis
370,Hawkins County,69.7,51.4,58.4,45.3,45.7,70.3,55.5,45.1,54.1,65.8,6900,1.9,2.5,0.3,0.3,15.5,61.6,9131.7,4.7,19.3,13.5,5.1,0.2,91.5,5,8.8,7.2,-10.1,17.2,0.2,3.3,0.7,6.9,3.9,5.3,First TN
371,Rogersville City,,,,,61.6,,,,65.3,80.2,617,4.2,2.3,0.3,1.7,11.7,52.2,9441.7,6.8,,8.8,0,0,,,,,,,-4.1,,,,3.7,-0.5,First TN
380,Haywood County,57.6,32,46.1,28,33.9,61.6,43.6,28.6,44.5,43.5,2879,63.2,7,0,1.9,14.4,75.7,9888.4,70.2,17.4,13.1,3,0,85.2,7.6,10.4,4.9,2.2,-3.5,-0.8,14.2,-0.8,-2.6,0.7,0.3,Southwest/Memphis
390,Henderson County,86,88.4,76.4,53.7,53.3,81.1,77.7,51.8,72.1,71.2,3781,8.1,2.2,0,0,14.5,61.4,8412.5,10.3,19.5,10.8,0,0,96.4,2.4,-3.2,28.8,-1,15.8,-1.8,-0.7,9.2,-0.1,4.4,-1,Southwest/Memphis
391,Lexington City,,,,,46.7,,,,67,70.2,925,25,6.5,0.1,1.9,13.2,62,9925.9,31.6,,10.8,0,0,,,,,,,-3.5,,,,1.9,-3.6,Southwest/Memphis
400,Henry County,78.5,57.9,83.8,59.2,52.7,76.6,70.3,56.4,68.6,78.1,2946,7.2,2.3,0.1,0,12.9,60.3,9285,9.6,19.6,8.4,0.3,0,92,6.2,-2.2,-16.3,2.8,1.4,-2.3,-9.1,-1,5.2,7.3,2.7,Northwest
401,Paris SSD,100,,,,52.3,,,,60.6,76.6,1655,25.9,2,0,0.7,17.7,63.6,8840.9,27.9,,6.9,2.4,0,,,0,,,,-1.8,,,,1.3,-1.7,Northwest
410,Hickman County,40.2,22.6,54.2,45.1,48.9,60.3,57.5,31.3,58.1,68,3439,3.2,1.7,0.5,0.6,18.1,69.1,8965.8,5.4,18.4,17.3,1.6,0,92.5,5.2,-4.5,-5.7,6,8.8,4.3,-4,9.3,-4,8.5,2.1,South Central
420,Houston County,58.6,64.9,69.4,34,44.5,60.4,66.4,48.6,55.9,63,1298,5.1,2.2,0.7,0,16.3,56.7,9187.7,8,19.2,26.3,0.2,0,95.8,3.1,-10.9,3.7,-3.9,9,2.1,-11.6,-3.6,4.6,9.7,2.3,Mid Cumberland
430,Humphreys County,51.7,38.2,74.1,45.6,47,77.1,73.8,42.8,51.3,67.8,2738,4.6,1.9,0.4,0.4,15.6,58,8856.2,6.9,18.9,13.5,1.5,0.1,84.5,9.4,-11.2,-10.7,-3.4,0.1,-3,-3.2,-9.1,0.4,-1.8,-2.9,Mid Cumberland
440,Jackson County,45.9,33.3,68.9,50,42.8,61.8,47.3,46.3,45.3,64.7,1505,0.9,1.5,0.3,0,19.7,83.4,9165.8,2.7,18.4,8.2,0,0,87.4,8.4,-2.2,-5.7,3.4,4.4,1.1,-5.3,-8.1,6.3,4.6,1.9,Upper Cumberland
450,Jefferson County,80.4,53.7,76.5,49.5,40.9,76.4,70.1,38.1,50.2,62.2,7136,3.2,7,0.3,3.8,12.6,62.1,8627.7,10.5,19.5,13.2,1.8,0,89.7,7.8,5.9,-4.2,5.7,3.1,-1.2,-3.7,2.9,-0.4,5.5,-1.2,East TN
460,Johnson County,74.7,40,65.2,33.3,49.8,67.1,50,23.5,52,70.8,2069,0.7,3.8,0.2,1.3,18.5,80.9,10449.2,4.7,19.2,12.3,0,0,98.6,0.7,12.2,-13.9,-0.3,11.7,2,5.9,1.2,-6,-1.8,-1.6,First TN
470,Knox County,73.1,62.8,70.3,49.6,53.3,76.8,71.3,45.3,55.2,68.4,56383,16.6,7.2,0.4,4.3,13.9,40,9043,24.2,20.7,9.4,6.1,0,88.7,7.4,4.5,3.1,0.4,2.1,-0.2,1.7,1,1.9,3.5,1,East TN
480,Lake County,22.9,0,25,36.5,32.5,36.8,34.6,31.7,34.7,45.6,807,30.2,3.3,0.1,0.1,18.6,77,10813,33.6,16.4,31.2,5.5,0.1,89.4,6.4,-19.7,-20.8,-16.3,3.2,1.7,-14.1,-14.7,20.8,11.6,6.4,Northwest
490,Lauderdale County,79.9,63.6,51.9,32.6,40.5,62,57.6,37.4,53.6,62,4263,43.6,3.1,0.9,0.9,17.1,81.3,8877.3,47.6,17.6,9.5,6.7,0,97,0.7,-1.9,23.4,0.7,3,-1.3,-3.5,0.4,6.4,6,4.2,Southwest/Memphis
500,Lawrence County,87.2,63.3,75.9,55.8,57.3,77.9,70.1,38.8,69.1,75.4,6434,3.4,2.5,0.2,0.6,14.2,50.5,8387.1,6.1,19.2,20.7,2,0,94.5,3.6,7.2,9.7,3.7,1.7,-2.7,-2.5,5.4,2.6,3.3,-0.6,South Central
510,Lewis County,54.1,23.5,52.7,24.4,47.6,68.2,62.3,31,50.2,57.4,1758,3.3,2.4,0.5,0,14.9,72.1,7985.1,6.2,18.5,19.4,1,0,87.1,9.1,5.1,-3.2,0.8,-10.2,-2.8,-0.5,7.6,-9.2,4.4,-3.3,South Central
520,Lincoln County,77,62.3,77.3,56.7,57.7,75.6,74.5,52.3,66.5,75.6,3798,3.4,4.2,0.4,1.2,13.6,57,8153.4,8,19.6,14,2.4,0,95.4,3.4,12.9,1.2,12.1,9.5,0.3,-4.8,6.5,5.4,12.2,4.7,South Central
521,Fayetteville City,63.2,56,63.9,44.2,47.9,72.1,68.4,45.9,47.5,66.4,1422,31.9,5.2,0.1,1.2,13.1,53.2,8472.6,37.2,19.3,10.1,4.1,0,97.5,0,14.7,6,0.8,,0.5,-1.5,3.2,-14.6,4.2,3.4,South Central
530,Loudon County,71.9,44.5,68.9,46.5,55.2,72.7,68.9,40.8,61.2,71.6,4639,3,10.8,0.2,3.6,13.2,54.9,8776.7,14,18.8,11.6,2.5,0.1,87.1,12,1.3,6.3,-3.3,5.1,-1.4,0.3,4.9,-1.8,3.6,0.3,East TN
531,Lenoir City,66.6,76.7,65.3,54.4,33.8,76.8,68.8,49,45.1,58.4,2238,2.8,25.3,0.5,11.2,14.7,63.3,9135.6,28.6,18.9,15.9,5.8,0.3,90.8,5.9,-7.7,14.8,-0.8,5.5,-4.3,6.2,-4.1,6.6,-1,-7,East TN
540,McMinn County,78.2,47.2,71.6,35.4,47.6,68.7,69,45.2,51.9,67.4,5529,5.5,4.8,0.3,0.1,12.7,65.5,7869.6,10.6,18.9,15.3,4.3,0,95.7,3.2,0.6,3.3,1.5,9.3,-0.8,-7.2,5.5,4.9,0.9,-0.6,Southeast
541,Athens City,100,,,,52.9,,,,59.4,62.5,1504,16.5,8,0.4,0.1,13.8,73.7,10444.7,24.9,,6.8,1.9,0,,,1.7,,,,0.4,,,,0.8,2.5,Southeast
542,Etowah City,,,,,38.8,,,,40.2,66.5,310,6.8,4.1,0.6,0,15.1,74,10807.6,11.5,,13.6,3.6,0,,,,,,,2.3,,,,1.3,2.4,Southeast
550,McNairy County,59.2,62,60,36.1,47,69.6,65.2,53.3,59.4,63.9,4136,8.2,1.6,0.1,0.2,13.1,58.1,7790.4,9.9,18.6,4.7,1.1,0,94.3,3.4,-8.4,7.3,4.2,-0.3,-1.1,-0.3,0.3,12.9,11.9,2.9,Southwest/Memphis
560,Macon County,76.8,44.8,64.4,37.9,43,70.7,63.6,43.6,49.1,61.6,3637,0.6,8.2,0.4,2.9,17.1,62.8,8166.7,9.2,18.5,6.6,2,0.2,86,11,4.5,18.2,1.1,13.6,-0.3,1.4,6.1,7.7,4.4,4,Upper Cumberland
570,Jackson-Madison County,54.8,35.6,50.7,43.3,37.8,57.2,51.7,34.8,38.2,46.8,12280,60.5,6.7,0.1,4,14.8,78.1,9489.4,67.3,17.3,19.4,13,0.1,94.5,2.6,-3.3,-2.4,-3.1,13.1,1,0.4,1.6,6.5,1.8,0.4,Southwest/Memphis
580,Marion County,,20.5,78.1,38.3,45.9,72.4,59.3,51.2,53.5,68.1,4029,4.9,2,0.1,0,14,65.4,8697.2,7,18.7,16.3,0.8,0.1,84,8.3,,-24,2.1,0.5,-2.4,6,-10.5,9.8,3.8,0.6,Southeast
581,Richard City,78.3,54.5,61.5,0,51.2,81.8,88.5,25,59.4,58.6,270,6,1.1,0,0,9.8,58.6,9223.6,7.1,20.1,22.8,0,0,92,8,-7.5,-14.7,-16.3,-13.3,-1.8,-6.2,25.5,-46.5,0.3,10.1,Southeast
590,Marshall County,86.1,68,74.2,45.5,48,71.9,73.1,41.8,59.8,72.5,5208,9.4,7.7,0.4,3,12.2,53.7,8583.7,17.5,18.9,12.3,3.4,0,89.9,7.3,11.8,12.3,6,8.5,0.7,-7.8,13.3,-2.8,3.8,6.8,South Central
600,Maury County,65.1,55.3,65.2,40.2,43.3,68.6,61.6,41,45.4,60.1,11586,19.2,9,0.1,3.2,15.6,55.6,9106.2,28.3,18.6,29,5,0,87,9.7,-5.2,3.1,2.2,7,-2.7,-2.5,-0.8,3.4,7.7,-3.3,South Central
