"system","system_name","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region"
560,"Macon County",76.8,44.8,64.4,37.9,43,70.7,63.6,43.6,49.1,61.6,3637,0.6,8.2,0.4,2.9,17.1,62.8,8166.7,9.2,18.5,6.6,2,0.2,86,11,"Upper Cumberland CORE"
570,"Jackson-Madison County",54.8,35.6,50.7,43.3,37.8,57.2,51.7,34.8,38.2,46.8,12280,60.5,6.7,0.1,4,14.8,78.1,9489.4,67.3,17.3,19.4,13,0.1,94.5,2.6,"Southwest/Memphis CORE"
580,"Marion County",NA,20.5,78.1,38.3,45.9,72.4,59.3,51.2,53.5,68.1,4029,4.9,2,0.1,0,14,65.4,8697.2,7,18.7,16.3,0.8,0.1,84,8.3,"Southeast CORE"
581,"Richard City",78.3,54.5,61.5,0,51.2,81.8,88.5,25,59.4,58.6,270,6,1.1,0,0,9.8,58.6,9223.6,7.1,20.1,22.8,0,0,92,8,"Southeast CORE"
590,"Marshall County",86.1,68,74.2,45.5,48,71.9,73.1,41.8,59.8,72.5,5208,9.4,7.7,0.4,3,12.2,53.7,8583.7,17.5,18.9,12.3,3.4,0,89.9,7.3,"South Central CORE"
600,"Maury County",65.1,55.3,65.2,40.2,43.3,68.6,61.6,41,45.4,60.1,11586,19.2,9,0.1,3.2,15.6,55.6,9106.2,28.3,18.6,29,5,0,87,9.7,"South Central CORE"
610,"Meigs County",71.2,47.6,72.1,43.6,49.3,74.8,75.5,59.1,59.1,66.5,1680,1.4,1.3,0.2,0.2,19.2,69.3,8703.1,2.9,19.2,13.8,2.2,0,100,0,"Southeast CORE"
620,"Monroe County",62.8,51.6,66,35.6,41.5,64.4,58.6,45.4,49.5,55,5335,2.5,4.9,0.3,0.2,14.8,65.6,8566.8,7.7,17.9,12,3.9,0.1,95.2,3.8,"East TN CORE"
621,"Sweetwater City",NA,NA,NA,NA,50.1,NA,NA,NA,59.9,61.4,1509,7.5,9,0.2,0.4,19.6,79.1,8332,16.7,NA,10,2.4,0,NA,NA,"East TN CORE"
630,"Montgomery County",74.1,67.9,76.8,52.8,55.6,77.2,70.6,47.9,63.5,78.1,30670,28.2,11.5,1,2.7,14.2,49.4,8675.5,40.7,19.4,6,5.3,0.3,93.4,4,"Mid Cumberland CORE"
640,"Moore County",78,43.5,85.1,60,54.3,90.1,73,32.4,61.9,67.8,886,3.6,0.8,0.2,0,15.3,48.5,9946.8,4.6,18.5,8.8,1.2,0,86.7,10.7,"South Central CORE"
650,"Morgan County",53.1,24.3,52,25.6,34.1,66.1,55.1,32.9,35.2,50.8,3009,1,1.1,0.2,0.3,15.3,68.4,8597.9,2.3,17.9,5.7,1.4,0,97.9,1.7,"East TN CORE"
660,"Obion County",77.6,75.3,74.5,61.8,47.3,74,66,49.5,53.6,71.3,3435,5.6,4.5,0,0,15,59.1,8731.7,10.1,19.1,11.3,2.2,0,87.7,7.5,"Northwest CORE"
661,"Union City",79.5,87.8,74,68.6,46.2,67.5,66.7,63.1,53.3,58.6,1526,41.9,10.7,0.3,4.8,11.1,67.9,9229.5,52.9,21.1,6.9,4.2,0,88.6,7.1,"Northwest CORE"
670,"Overton County",77.9,27.6,71.2,46.3,48.1,82.3,55.9,40,57.6,69.5,3086,1.4,0.7,0.5,0,13.5,71.5,8426.3,2.6,18.9,14,0.8,0,91.2,7.2,"Upper Cumberland CORE"
680,"Perry County",48.5,50.6,58,19,42.6,60.8,60.6,35.6,61.8,66.5,1058,3.2,2.1,0.8,0,17.1,71.7,9212,6.1,18,24.1,1.5,0,91.9,7,"South Central CORE"
690,"Pickett County",85.9,33.3,69.4,29.9,33.5,77,65.2,29.1,28.9,52.7,733,0.8,2.3,0,0,14.7,65.3,8184.2,3.1,19.7,13.6,0.1,0,94.4,0,"Upper Cumberland CORE"
700,"Polk County",60.5,59.9,70.2,43.6,41.6,64.1,54.8,41.1,53.7,55.8,2388,1.2,2.3,0.2,0,13.9,70.5,8629.2,3.7,17.9,16,1.4,0,87.6,7.4,"Southeast CORE"
710,"Putnam County",NA,NA,73.9,40.6,48.9,74.9,69.1,36.3,53.4,67.7,10439,4.2,11.4,0.4,6.3,17.7,55,8815.7,16,19.6,8.8,3.2,0,92.6,5.8,"Upper Cumberland CORE"
